NAMA BARANG,HARGA JUAL,STOK
BESI 6 POLOS,"33.000,00",
KASO DUREN 3M,"18.500,00",
BENDRAT,"450.000,00",
BESI 13 ULIR,"131.500,00",
BESI 10 ULIR,"77.700,00",
BESI 8 POLOS,"47.000,00",
"KNEE 45"" AW 3","47.000,00",
"LARGE RADIUS 3""","60.000,00",
BATA MERAH,"950,00",
"PAKU BETON PTH 1 1/2"" DUS","17.000,00",
PAKU KAYU 7 CM,"540.000,00",
LARGE RADIUS TEE 4 X 3,"140.000,00",
BENDRAT HITAM,"450.000,00",
BAN DALAM ARTCO,"28.000,00",
CETOK KOTAK,"22.000,00",
SELANG MILIARD,"374.000,00",
"LARGE RADIUS TEE 3""","60.000,00",
BESI 19 ULIR,"281.400,00",
SOCK POWER 1,"8.000,00",
EMBER COR,"9.500,00",
LEPAN VINO,"22.500,00",
PIPA MASPION AW 1,"50.000,00",
BAMBU,"19.500,00",
PAKU 5 CM,"480.000,00",
PAKU 7CM,"16.000,00",
PAKU 10CM,"16.000,00",
BENANG NILON,"52.000,00",
"SEALTAPE ONDA 1/2""","9.000,00",
M01 MHGI,"11.250,00",
BESI 16 ULIR,"200.000,00",
TRIPLEK 12 MM UTY,"168.000,00",
BESI 8 ULIR,"51.000,00",
MH04 MHGI,"19.500,00",
M11 MHGI,"70.000,00",
M12 MHGI,"70.000,00",
M08 MHGI,"57.500,00",
LEM RUGLUE 400GR,"65.000,00",
"Y BRAND 3""","85.000,00",
PHILIPS LED 45 W,"86.000,00",
PHILIPS LED 30 W,"55.000,00",
PHILIPS LED 40 W,"67.000,00",
PHILIPS LED 19 W,"91.000,00",
,,
,,
,,
,,
Nama Barang,Hrg. Jual,
"PHILIPS LED 14,5 W","65.000,00",
PHILIPS LED 10 W,"52.000,00",
PHILIPS LED 8 W,"45.000,00",
PHILIPS LED 6 W,"41.000,00",
PHILIPS LED 4 W BESAR,"35.000,00",
PHILIPS LED 4 W KECIL,"33.000,00",
PHILIPS LED 3 W,"27.000,00",
LUBY SUMO 40 W,"43.500,00",
LUBY SUMO 30 W,"40.000,00",
LUBY SUMO 22 W,"22.500,00",
LUBY SUMO 16 W,"20.000,00",
LUBY SUMO 12 W,"13.500,00",
LUBY PRIMA 24 W,"37.500,00",
LUBY PRIMA 18 W,"28.000,00",
LUBY PRIMA 15 W,"24.000,00",
LUBY PRIMA 12 W,"16.500,00",
LUBY PRIMA 9 W,"14.500,00",
LUBY PRIMA 7 W,"12.500,00",
LUBY PRIMA 5 W,"11.000,00",
LUBY PRIMA 3 W,"9.000,00",
ALTIS 23 W,"14.500,00",
ALTIS 18 W,"10.500,00",
ALTIS 15 W,"8.500,00",
ALTIS 12 W,"7.000,00",
ALTIS 9 W,"6.500,00",
ALTIS 7 W,"6.000,00",
ALTIS 5 W,"5.500,00",
ZENICH 40 W,"44.000,00",
ZENICH 30 W,"30.000,00",
ZENICH 20 W,"20.000,00",
ZENICH 10 W,"11.500,00",
ZENICH 5 W,"8.500,00",
PANALED PREM. 40 W,"10.000,00",
PANALED PREM. 20 W,"6.500,00",
PANALED PREM. 15 W,"6.000,00",
PANALED PREM. 10 W,"4.500,00",
PANALED PREM. 5 W,"3.500,00",
KERAMIK 50X50 VARCO GREY KW ECO,"50.000,00",
KERAMIK 50X50 ALMAZ L BEIGE,"54.000,00",
KERAMIK 50X50 ALMAZ L GRIS,"54.000,00",
KERAMIK 50X50 YUCON L BEIGE,"54.000,00",
